category,company_name,city,state,,job_title,job_type
Manufacturing,Citi,Chennai,Tamil Nadu,,It Quality Analyst 2C10  Cards Chennai,Full-time
It,Cotower Services Ltd,Kolkata,West Bengal,,It Developer J Software Developer,Full-time
Arts,Vawebsites,Mangalore,Karnataka,,Graphic Designer  Video Editor,Full-time
It,Cafsinfotech,Chennai,Tamil Nadu,,Software Developer,Full-time
Training,Ibm,Bengaluru,Karnataka,,Infrastructure Specialist,Full-time
Fresher,Prajyo Instrument Pvt.Ltd Midc Bhosari Pune -26,Pune,Maharashtra,,Calibration Engineer,"Full-time, Fresher"
Sales,Pwc,Mumbai,Maharashtra,,Senior Associate Mumbai,Full-time
It,Target,Bengaluru,Karnataka,,Manager Frs,Full-time
It,"Jpmorgan Chase Bank, N.A.",Bengaluru,Karnataka,,Cib  Market Operations  Project Manager  Associate,Full-time
Pharmaceutical,Vcc Hr Consultancy,Trichur,Kerala,,Lab Technician,Full-time
Management,Citi,Mumbai,Maharashtra,,Grr Data Engineering Officer,Full-time
Consultant,Accenture,Gurgaon,Haryana,,Sap Ariba,Full-time
Consultant,Standard Chartered,Chennai,Tamil Nadu,,Support Lead,Full-time
It,"Jpmorgan Chase Bank, N.A.",Bengaluru,Karnataka,,Cib  Client Account Services  Client Data Analyst  Team Leader,Full-time
Advertising,Ey,Bengaluru,Karnataka,,Senior Associate  Purchasing Support Team,Full-time
Admin,"Jpmorgan Chase Bank, N.A.",Mumbai,Maharashtra,,Asset Management  Regulatory And Control  Associate,Full-time
Accounting,Ibm,Bengaluru,Karnataka,,Senior Practitioner  Finance And Administration Delivery,Full-time
Marketing,Randstad,Satara,Maharashtra,,Associate,Full-time
Pr,Cognizant Technology Solutions,Chennai,Tamil Nadu,,Assocdirectorservicedelivery,Full-time
Bank,Dvdasjobs,Surat,Gujarat,,Accountant,Full-time
Human Resources,Windows Consultants Pvt. Ltd.,Gurgaon,Haryana,,Tableau Developer,Full-time
Manufacturing,Mri Software,Vadodara,Gujarat,,Software Engineer Aspnet Core Mvc,Full-time
Recruitment,Rock Technolabs,Ahmedabad,Gujarat,,It Recruiter,"Full-time, Fresher"
Sales,Oracle,Bengaluru,Karnataka,,Technical Analyst 3Support,Full-time
Part Time,Musée Musical,Hyderabad,Telangana,,Sales And Business Development,Full-time
It,Future Profilez,Jaipur,Rajasthan,,Senior Php Developer,"Full-time, Volunteer"
Finance,Oracle,Mumbai,Maharashtra,,Cloud Architect  Hpc,Full-time
Bank,Osource India Pvt Ltd,Navi Mumbai,Maharashtra,,Hr  Exit Operations Management  Male Candidate  Navi Mumbai,Full-time
Healthcare,Nielseniq,Mumbai,Maharashtra,,Senior Research Analyst,Full-time
Part Time,Suprriya Agro Tourism Resort,Pune,Maharashtra,,Sales And Marketing Executive,Full-time
Bpo,Josuby Solutions,Inderlok,Delhi,,Amazon Verification Process  Bpo Inbound Process,"Full-time, Fresher"
Management,Hdfc Bank,Ambur,Tamil Nadu,,Authoriser  Glo,Full-time
Sales,Twinbirds,Chennai,Tamil Nadu,,Counter Sales Executive,Full-time
It,Linedata Services,Mumbai,Maharashtra,,Senior Engineer  Networking,Full-time
Management,Hdfc Bank,Kolhapur,Maharashtra,,Rbbteller Authoriser,Full-time
Bank,Hsbc,Pune,Maharashtra,,Business Analystrbwm Coo,Full-time
Management,Oracle,India,Telangana,,Principal Consultant,Full-time
Management,Education Software Solutions,Pune,Maharashtra,,Analysttrainer Sims Bangalore,Full-time
Human Resources,Lexture Solutions,Kolkata,West Bengal,,Academic Content Developer,"Full-time, Fresher"
Engineering,Oracle,Bengaluru,Karnataka,,Qa Managerproddev,Full-time
It,Elsner Tech Pvt Ltd,Ahmedabad,Gujarat,,Software Developer,Full-time
It,Ge Healthcare,Bengaluru,Karnataka,,Sr Staff Software Architect,Full-time
Part Time,Miletia Guide Solutions Pvt Ltd,Kochi,Kerala,,Sales And Business Development,Full-time
Customer Service,Ezytm Technologies,Jaipur,Rajasthan,,Technical Support Executive,"Full-time, Fresher"
Consultant,Prolance Consultancy,Pune,Maharashtra,,Customer Service Advisor,Full-time
Management,Mascot Event,Ahmedabad,Gujarat,,Urgent Opening  Marketing Manager  Interior Designing,"Full-time, Commission"
Sales,Natwest Group,Gurgaon,Haryana,,Performance  Business Management Manager,Full-time
Social Media,Fashion Tv,Mumbai,Maharashtra,,Graphic Design Internship,Full-time
It,Capgemini,Mumbai,Maharashtra,,Windows System Administrator  6 To 9 Years  Mumbai,Full-time
Consultant,Ibm,Mumbai,Maharashtra,,Data Consultant Data Governance,Full-time
Management,Maiz Hospitality Private Limited,Mumbai,Maharashtra,,Commis 3  2,Full-time
Electrical,Qualcomm India Private Limited,Bengaluru,Karnataka,,Design  Verification Srengineer,Full-time
Healthcare,"Jpmorgan Chase Bank, N.A.",Mumbai,Maharashtra,,Cib Wholesale Payment Operations  Payment Lifecycle Analyst  Team Leader,Full-time
Marketing,Antal International,Mumbai,Maharashtra,,Cloud Solutions Principal,Full-time
Admin,Pwc,Bengaluru,Karnataka,,Guidewire Etl Testing  Senior Associate 2  Bangalore,Full-time
It,Oracle,Bengaluru,Karnataka,,Software Developer 3,Full-time
Automation,Business Websoft Pvt. Ltd.,Zirakpur,Punjab,,Software Test Engineer,Full-time
Pr,Adken Global Private Limited Company,Delhi Sadar Bazar,Delhi,,Kyc Executive,"Full-time, Internship"
Manufacturing,Kk Hr Services,Vadodara,Gujarat,,Production Supervisor,"Full-time, Fresher"
Management,Ibm,Bengaluru,Karnataka,,Application Developer Mobile,Full-time
Sales,Ivan Infotech Pvt Ltd,Kolkata,West Bengal,,Erp Sales Manager  It Sales,Full-time
Transportation,Vision Body Care Pvt Ltd.,Ludhiana,Punjab,,Delivery Boy,Full-time
Marketing,Im Solutions,Bengaluru,Karnataka,,Campaign Manager,Full-time
Sales,Sprinklr,Gurgaon,Haryana,,Head Campus Recruitment,Full-time
Government,Digiquest India Ltd,Hyderabad,Telangana,,Sr Accountant,"Full-time, Commission"
Retail,Mahendra & Co,Mumbai,Maharashtra,,Accounts Assistant,"Full-time, Contract"
It,S&P Global,Gurgaon,Haryana,,Manager,Full-time
Electronics,Arrow Electronics,Bengaluru,Karnataka,,Applications Engineer I,Full-time
It,Lionbridge Technologies,Mumbai,Maharashtra,,Senior Testing Engineer,Full-time
Education,Rcdsp Technology Solutions Services India Private Limited,Raipur,Chhattisgarh,,Computer Teacher,"Full-time, Commission, Fresher"
Consultant,Genpact,Hyderabad,Telangana,,Lead Consultant  Qlikveiw,Full-time
Healthcare,Genpact,Noida,Uttar Pradesh,,Dg  Management Trainee  Record To Report,Full-time
Scientific,Ey Global Services Limited Prod,Bengaluru,Karnataka,,Data And Analyticsetldata Quality Developer,Full-time
Sales,Genpact,Hyderabad,Telangana,,Consultant  Tableau,Full-time
Marketing,Infotelligent,Visakhapatnam,Andhra Pradesh,,Content Marketing Specialist,Full-time
Telecommunication,Habitat For Humanity,Mallepally,Telangana,,Area Change Management Specialist Emea,Full-time
It,Antonal Technologies Private Limited,Ernakulam,Kerala,,Software Tester,Full-time
Healthcare,Oracle,Bengaluru,Karnataka,,Qa Analyst 4Proddev,Full-time
It,Cognizant Technology Solutions,Pune,Maharashtra,,Associate,Full-time
Computer,Hopeberry Retail Pvt Ltd,Surat,Gujarat,,Data Entry Operator,"Full-time, Contract"
Healthcare,Cerner Corporation,Bengaluru,Karnataka,,Database Administrator I,Full-time
Construction,Iqvia,Bengaluru,Karnataka,,Contracts Coord,Contract
Manufacturing,Hdfc Bank,Chennai,Tamil Nadu,,Sales Complaincecontrol Manager,Full-time
